South Korea, Female population exposure by birth cohort and age (horizontal parallelograms, age in completed years (ACY))
Last modified: 19/08/2022
Cohort  Age       Exposure
1955     51      369170.16
1955     52      368931.56
1955     53      368866.90
1955     54      368627.43
1955     55      367991.89
1956     12              .
1956     13              .
1956     14              .
1956     15              .
1956     16              .
1956     17              .
1956     18              .
1956     19              .
1956     20              .
1956     21              .
1956     22              .
1956     23              .
1956     24              .
1956     25              .
1956     26              .
1956     27              .
1956     28              .
1956     29              .
1956     30              .
1956     31              .
1956     32              .
1956     33              .
1956     34              .
1956     35              .
1956     36              .
1956     37              .
1956     38              .
1956     39              .
1956     40              .
1956     41              .
1956     42              .
1956     43              .
1956     44      354485.32
1956     45      353683.34
1956     46      352946.90
1956     47      351418.23
1956     48      350368.78
1956     49      349887.83
1956     50      349431.59
1956     51      349322.02
1956     52      349173.51
1956     53      349041.32
1956     54      348587.08
1956     55      348225.54
1957     12              .
1957     13              .
1957     14              .
1957     15              .
1957     16              .
1957     17              .
1957     18              .
1957     19              .
1957     20              .
1957     21              .
1957     22              .
1957     23              .
1957     24              .
1957     25              .
1957     26              .
1957     27              .
1957     28              .
1957     29              .
1957     30              .
1957     31              .
1957     32              .
1957     33              .
1957     34              .
1957     35              .
1957     36              .
1957     37              .
1957     38              .
1957     39              .
1957     40              .
1957     41              .
1957     42              .
1957     43      389206.11
1957     44      388315.46
1957     45      387484.81
1957     46      385941.78
1957     47      384827.67
1957     48      384240.26
1957     49      383638.01
1957     50      383584.66
1957     51      383561.22
1957     52      383504.77
1957     53      382965.82
1957     54      382593.25
1957     55      381969.54
1958     12              .
1958     13              .
1958     14              .
1958     15              .
1958     16              .
1958     17              .
1958     18              .
1958     19              .
1958     20              .
1958     21              .
1958     22              .
1958     23              .
1958     24              .
1958     25              .
1958     26              .
1958     27              .
1958     28              .
1958     29              .
1958     30              .
1958     31              .
1958     32              .
1958     33              .
1958     34              .
1958     35              .
1958     36              .
1958     37              .
1958     38              .
1958     39              .
1958     40              .
1958     41              .
1958     42      391254.03
1958     43      390361.23
1958     44      389619.54
1958     45      388024.51
1958     46      386898.70
1958     47      386306.80
1958     48      385795.09
1958     49      385521.40
1958     50      385525.41
1958     51      385462.84
1958     52      385081.55
1958     53      384733.66
1958     54      384082.64
1958     55      383628.64
1959     12              .
1959     13              .
1959     14              .
1959     15              .
1959     16              .
1959     17              .
1959     18              .
1959     19              .
1959     20              .
1959     21              .
1959     22              .
1959     23              .
1959     24              .
1959     25              .
1959     26              .
1959     27              .
1959     28              .
1959     29              .
1959     30              .
1959     31              .
1959     32              .
1959     33              .
1959     34              .
1959     35              .
1959     36              .
1959     37              .
1959     38              .
1959     39              .
1959     40              .
1959     41      432381.94
1959     42      431652.27
1959     43      430744.66
1959     44      428799.06
1959     45      427532.08
1959     46      426971.65
1959     47      426489.24
1959     48      426350.97
1959     49      426481.85
1959     50      426345.28
1959     51      425836.56
1959     52      425450.04
1959     53      424882.83
1959     54      424354.32
1959     55      423835.67
1960     12              .
1960     13              .
1960     14              .
1960     15              .
1960     16              .
1960     17              .
1960     18              .
1960     19              .
1960     20              .
1960     21              .
1960     22              .
1960     23              .
1960     24              .
1960     25              .
1960     26              .
1960     27              .
1960     28              .
1960     29              .
1960     30              .
1960     31              .
1960     32              .
1960     33              .
1960     34              .
1960     35              .
1960     36              .
1960     37              .
1960     38              .
1960     39              .
1960     40      468266.94
1960     41      467331.83
1960     42      466268.88
1960     43      464507.85
1960     44      463117.55
1960     45      462464.82
1960     46      461845.41
1960     47      461733.21
1960     48      461829.66
1960     49      461835.76
1960     50      461266.53
1960     51      460921.99
1960     52      460288.82
1960     53      459888.00
1960     54      459397.42
1960     55      458755.57
1961     12              .
1961     13              .
1961     14              .
1961     15              .
1961     16              .
1961     17              .
1961     18              .
1961     19              .
1961     20              .
1961     21              .
1961     22              .
1961     23              .
1961     24              .
1961     25              .
1961     26              .
1961     27              .
1961     28              .
1961     29              .
1961     30              .
1961     31              .
1961     32              .
1961     33              .
1961     34              .
1961     35              .
1961     36              .
1961     37              .
1961     38              .
1961     39      461514.80
1961     40      460663.74
1961     41      459703.65
1961     42      457952.29
1961     43      456477.68
1961     44      455788.70
1961     45      455173.21
1961     46      454965.89
1961     47      454946.83
1961     48      454801.26
1961     49      454251.00
1961     50      453906.23
1961     51      453375.43
1961     52      452891.59
1961     53      452379.86
1961     54      451737.89
1961     55      451101.00
1962     12              .
1962     13              .
1962     14              .
1962     15              .
1962     16              .
1962     17              .
1962     18              .
1962     19              .
1962     20              .
1962     21              .
1962     22              .
1962     23              .
1962     24              .
1962     25              .
1962     26              .
1962     27              .
1962     28              .
1962     29              .
1962     30              .
1962     31              .
1962     32              .
1962     33              .
1962     34              .
1962     35              .
1962     36              .
1962     37              .
1962     38      433963.45
1962     39      432994.15
1962     40      432118.11
1962     41      430532.21
1962     42      429397.55
1962     43      428842.32
1962     44      428381.31
1962     45      428312.50
1962     46      428394.62
1962     47      428515.43
1962     48      428172.56
1962     49      427912.34
1962     50      427337.68
1962     51      426997.99
1962     52      426652.08
1962     53      426195.91
1962     54      425600.04
1962     55      425038.93
1963     12              .
1963     13              .
1963     14              .
1963     15              .
1963     16              .
1963     17              .
1963     18              .
1963     19              .
1963     20              .
1963     21              .
1963     22              .
1963     23              .
1963     24              .
1963     25              .
1963     26              .
1963     27              .
1963     28              .
1963     29              .
1963     30              .
1963     31              .
1963     32              .
1963     33              .
1963     34              .
1963     35              .
1963     36              .
1963     37      389588.55
1963     38      388834.40
1963     39      388076.37
1963     40      386493.70
1963     41      385470.33
1963     42      385013.02
1963     43      384522.66
1963     44      384445.88
1963     45      384536.28
1963     46      384690.97
1963     47      384266.41
1963     48      384153.69
1963     49      383730.81
1963     50      383431.88
1963     51      383215.36
1963     52      382919.89
1963     53      382465.46
1963     54      382113.69
1963     55      381556.23
1964     12              .
1964     13              .
1964     14              .
1964     15              .
1964     16              .
1964     17              .
1964     18              .
1964     19              .
1964     20              .
1964     21              .
1964     22              .
1964     23              .
1964     24              .
1964     25              .
1964     26              .
1964     27              .
1964     28              .
1964     29              .
1964     30              .
1964     31              .
1964     32              .
1964     33              .
1964     34              .
1964     35              .
1964     36      412778.01
1964     37      412089.60
1964     38      411220.50
1964     39      409556.14
1964     40      408479.72
1964     41      407983.36
1964     42      407537.46
1964     43      407422.29
1964     44      407445.52
1964     45      407536.63
1964     46      407162.06
1964     47      406936.57
1964     48      406446.13
1964     49      406212.96
1964     50      405887.45
1964     51      405522.87
1964     52      405058.01
1964     53      404642.09
1964     54      404165.73
1964     55      403631.85
1965     12              .
1965     13              .
1965     14              .
1965     15              .
1965     16              .
1965     17              .
1965     18              .
1965     19              .
1965     20              .
1965     21              .
1965     22              .
1965     23              .
1965     24              .
1965     25              .
1965     26              .
1965     27              .
1965     28              .
1965     29              .
1965     30              .
1965     31              .
1965     32              .
1965     33              .
1965     34              .
1965     35      425767.81
1965     36      425178.29
1965     37      424228.57
1965     38      422561.35
1965     39      421640.03
1965     40      421068.39
1965     41      420526.36
1965     42      420618.85
1965     43      420730.73
1965     44      420730.13
1965     45      420435.09
1965     46      420243.08
1965     47      419760.83
1965     48      419513.02
1965     49      419245.57
1965     50      418872.59
1965     51      418404.01
1965     52      417917.03
1965     53      417455.33
1965     54      416897.46
1965     55              .
1966     12              .
1966     13              .
1966     14              .
1966     15              .
1966     16              .
1966     17              .
1966     18              .
1966     19              .
1966     20              .
1966     21              .
1966     22              .
1966     23              .
1966     24              .
1966     25              .
1966     26              .
1966     27              .
1966     28              .
1966     29              .
1966     30              .
1966     31              .
1966     32              .
1966     33              .
1966     34      391707.72
1966     35      390900.93
1966     36      390078.15
1966     37      388636.08
1966     38      387666.76
1966     39      387122.95
1966     40      386857.30
1966     41      386712.95
1966     42      386877.83
1966     43      386956.66
1966     44      386713.52
1966     45      386565.23
1966     46      386120.23
1966     47      385893.70
1966     48      385716.82
1966     49      385372.48
1966     50      385006.86
1966     51      384558.03
1966     52      384089.84
1966     53      383516.52
1966     54              .
1966     55              .
1967     12              .
1967     13              .
1967     14              .
1967     15              .
1967     16              .
1967     17              .
1967     18              .
1967     19              .
1967     20              .
1967     21              .
1967     22              .
1967     23              .
1967     24              .
1967     25              .
1967     26              .
1967     27              .
1967     28              .
1967     29              .
1967     30              .
1967     31              .
1967     32              .
1967     33      437807.56
1967     34      437152.17
1967     35      436255.71
1967     36      434511.75
1967     37      433441.45
1967     38      433068.83
1967     39      432586.45
1967     40      432529.28
1967     41      432510.12
1967     42      432488.21
1967     43      432033.70
1967     44      431888.00
1967     45      431357.49
1967     46      431136.30
1967     47      430864.91
1967     48      430438.42
1967     49      430056.64
1967     50      429552.91
1967     51      429123.20
1967     52      428570.15
1967     53              .
1967     54              .
1967     55              .
1968     12              .
1968     13              .
1968     14              .
1968     15              .
1968     16              .
1968     17              .
1968     18              .
1968     19              .
1968     20              .
1968     21              .
1968     22              .
1968     23              .
1968     24              .
1968     25              .
1968     26              .
1968     27              .
1968     28              .
1968     29              .
1968     30              .
1968     31              .
1968     32      463102.31
1968     33      462428.03
1968     34      461518.59
1968     35      459851.13
1968     36      458787.31
1968     37      458228.26
1968     38      457774.45
1968     39      457781.03
1968     40      457927.96
1968     41      457960.71
1968     42      457596.17
1968     43      457417.93
1968     44      456910.83
1968     45      456644.15
1968     46      456445.38
1968     47      456021.16
1968     48      455582.98
1968     49      455158.02
1968     50      454707.16
1968     51      454151.90
1968     52              .
1968     53              .
1968     54              .
1968     55              .
1969     12              .
1969     13              .
1969     14              .
1969     15              .
1969     16              .
1969     17              .
1969     18              .
1969     19              .
1969     20              .
1969     21              .
1969     22              .
1969     23              .
1969     24              .
1969     25              .
1969     26              .
1969     27              .
1969     28              .
1969     29              .
1969     30              .
1969     31      460282.95
1969     32      459545.23
1969     33      458652.62
1969     34      456910.87
1969     35      455924.23
1969     36      455489.65
1969     37      455058.16
1969     38      454838.72
1969     39      454890.74
1969     40      454865.71
1969     41      454466.99
1969     42      454282.93
1969     43      453744.59
1969     44      453619.71
1969     45      453370.71
1969     46      453013.73
1969     47      452585.01
1969     48      452137.99
1969     49      451668.98
1969     50      451139.26
1969     51              .
1969     52              .
1969     53              .
1969     54              .
1969     55              .
1970     12              .
1970     13              .
1970     14              .
1970     15              .
1970     16              .
1970     17              .
1970     18              .
1970     19              .
1970     20              .
1970     21              .
1970     22              .
1970     23              .
1970     24              .
1970     25              .
1970     26              .
1970     27              .
1970     28              .
1970     29              .
1970     30      453168.22
1970     31      452602.65
1970     32      451645.08
1970     33      450087.34
1970     34      449035.45
1970     35      448529.73
1970     36      448115.46
1970     37      448026.80
1970     38      448155.15
1970     39      448157.28
1970     40      447735.30
1970     41      447515.98
1970     42      446931.84
1970     43      446863.82
1970     44      446756.29
1970     45      446400.90
1970     46      446057.92
1970     47      445633.39
1970     48      445114.79
1970     49      444600.27
1970     50              .
1970     51              .
1970     52              .
1970     53              .
1970     54              .
1970     55              .
1971     12              .
1971     13              .
1971     14              .
1971     15              .
1971     16              .
1971     17              .
1971     18              .
1971     19              .
1971     20              .
1971     21              .
1971     22              .
1971     23              .
1971     24              .
1971     25              .
1971     26              .
1971     27              .
1971     28              .
1971     29      464165.92
1971     30      463612.04
1971     31      462687.69
1971     32      461190.27
1971     33      460048.75
1971     34      459641.90
1971     35      459013.88
1971     36      458968.55
1971     37      459091.61
1971     38      459023.48
1971     39      458519.71
1971     40      458354.26
1971     41      457846.03
1971     42      457740.58
1971     43      457539.96
1971     44      457166.76
1971     45      456769.87
1971     46      456385.36
1971     47      455951.65
1971     48      455481.24
1971     49              .
1971     50              .
1971     51              .
1971     52              .
1971     53              .
1971     54              .
1971     55              .
1972     12              .
1972     13              .
1972     14              .
1972     15              .
1972     16              .
1972     17              .
1972     18              .
1972     19              .
1972     20              .
1972     21              .
1972     22              .
1972     23              .
1972     24              .
1972     25              .
1972     26              .
1972     27              .
1972     28      438273.77
1972     29      437684.15
1972     30      436711.05
1972     31      435420.08
1972     32      434559.18
1972     33      434334.25
1972     34      434002.01
1972     35      433977.32
1972     36      434007.67
1972     37      434010.38
1972     38      433585.56
1972     39      433483.37
1972     40      432972.15
1972     41      432845.60
1972     42      432744.90
1972     43      432448.54
1972     44      432076.98
1972     45      431728.82
1972     46      431280.61
1972     47      430768.12
1972     48              .
1972     49              .
1972     50              .
1972     51              .
1972     52              .
1972     53              .
1972     54              .
1972     55              .
1973     12              .
1973     13              .
1973     14              .
1973     15              .
1973     16              .
1973     17              .
1973     18              .
1973     19              .
1973     20              .
1973     21              .
1973     22              .
1973     23              .
1973     24              .
1973     25              .
1973     26              .
1973     27      446519.45
1973     28      445923.68
1973     29      445287.10
1973     30      443799.19
1973     31      443083.04
1973     32      442829.34
1973     33      442632.58
1973     34      442501.66
1973     35      442625.68
1973     36      442535.60
1973     37      442165.82
1973     38      442091.07
1973     39      441657.52
1973     40      441532.55
1973     41      441376.13
1973     42      441085.05
1973     43      440779.73
1973     44      440355.82
1973     45      439951.88
1973     46      439475.59
1973     47              .
1973     48              .
1973     49              .
1973     50              .
1973     51              .
1973     52              .
1973     53              .
1973     54              .
1973     55              .
1974     12              .
1974     13              .
1974     14              .
1974     15              .
1974     16              .
1974     17              .
1974     18              .
1974     19              .
1974     20              .
1974     21              .
1974     22              .
1974     23              .
1974     24              .
1974     25              .
1974     26      421407.86
1974     27      420962.36
1974     28      420340.88
1974     29      419178.17
1974     30      418573.26
1974     31      418384.83
1974     32      418204.12
1974     33      418072.10
1974     34      418161.77
1974     35      417988.29
1974     36      417542.22
1974     37      417484.46
1974     38      416996.28
1974     39      417007.89
1974     40      416834.74
1974     41      416562.33
1974     42      416325.98
1974     43      415969.24
1974     44      415644.05
1974     45      415156.53
1974     46              .
1974     47              .
1974     48              .
1974     49              .
1974     50              .
1974     51              .
1974     52              .
1974     53              .
1974     54              .
1974     55              .
1975     12              .
1975     13              .
1975     14              .
1975     15              .
1975     16              .
1975     17              .
1975     18              .
1975     19              .
1975     20              .
1975     21              .
1975     22              .
1975     23              .
1975     24              .
1975     25      391980.95
1975     26      391652.05
1975     27      391121.25
1975     28      390182.08
1975     29      389800.73
1975     30      389758.47
1975     31      389594.73
1975     32      389633.33
1975     33      389845.19
1975     34      389850.75
1975     35      389389.79
1975     36      389350.18
1975     37      388981.14
1975     38      388902.46
1975     39      388840.60
1975     40      388679.21
1975     41      388447.43
1975     42      388214.07
1975     43      387823.02
1975     44      387475.84
1975     45              .
1975     46              .
1975     47              .
1975     48              .
1975     49              .
1975     50              .
1975     51              .
1975     52              .
1975     53              .
1975     54              .
1975     55              .
1976     12              .
1976     13              .
1976     14              .
1976     15              .
1976     16              .
1976     17              .
1976     18              .
1976     19              .
1976     20              .
1976     21              .
1976     22              .
1976     23              .
1976     24      372092.37
1976     25      371621.26
1976     26      371335.72
1976     27      370545.53
1976     28      370355.01
1976     29      370307.36
1976     30      370297.60
1976     31      370343.66
1976     32      370565.17
1976     33      370683.01
1976     34      370355.35
1976     35      370352.50
1976     36      370007.64
1976     37      370022.16
1976     38      369923.32
1976     39      369759.59
1976     40      369515.20
1976     41      369246.86
1976     42      368986.22
1976     43      368638.31
1976     44              .
1976     45              .
1976     46              .
1976     47              .
1976     48              .
1976     49              .
1976     50              .
1976     51              .
1976     52              .
1976     53              .
1976     54              .
1976     55              .
1977     12              .
1977     13              .
1977     14              .
1977     15              .
1977     16              .
1977     17              .
1977     18              .
1977     19              .
1977     20              .
1977     21              .
1977     22              .
1977     23      386730.83
1977     24      386405.62
1977     25      385985.79
1977     26      385351.58
1977     27      385100.80
1977     28      385347.34
1977     29      385223.06
1977     30      385367.84
1977     31      385572.08
1977     32      385633.23
1977     33      385322.55
1977     34      385332.74
1977     35      385008.91
1977     36      385055.73
1977     37      385032.44
1977     38      384858.78
1977     39      384660.95
1977     40      384419.92
1977     41      384182.09
1977     42      383818.64
1977     43              .
1977     44              .
1977     45              .
1977     46              .
1977     47              .
1977     48              .
1977     49              .
1977     50              .
1977     51              .
1977     52              .
1977     53              .
1977     54              .
1977     55              .
1978     12              .
1978     13              .
1978     14              .
1978     15              .
1978     16              .
1978     17              .
1978     18              .
1978     19              .
1978     20              .
1978     21              .
1978     22      347279.08
1978     23      346617.18
1978     24      346163.95
1978     25      345501.29
1978     26      345614.99
1978     27      345815.04
1978     28      345950.28
1978     29      346087.71
1978     30      346444.18
1978     31      346769.03
1978     32      346616.79
1978     33      346822.12
1978     34      346620.99
1978     35      346746.41
1978     36      346733.75
1978     37      346593.47
1978     38      346484.09
1978     39      346293.08
1978     40      346088.95
1978     41      345831.99
1978     42              .
1978     43              .
1978     44              .
1978     45              .
1978     46              .
1978     47              .
1978     48              .
1978     49              .
1978     50              .
1978     51              .
1978     52              .
1978     53              .
1978     54              .
1978     55              .
1979     12              .
1979     13              .
1979     14              .
1979     15              .
1979     16              .
1979     17              .
1979     18              .
1979     19              .
1979     20              .
1979     21      407781.49
1979     22      407479.19
1979     23      407015.80
1979     24      406040.54
1979     25      406011.83
1979     26      406312.87
1979     27      406371.20
1979     28      406649.77
1979     29      407175.53
1979     30      407432.36
1979     31      407186.97
1979     32      407419.76
1979     33      407274.04
1979     34      407386.27
1979     35      407428.15
1979     36      407278.02
1979     37      407163.26
1979     38      406926.97
1979     39      406664.23
1979     40      406386.77
1979     41              .
1979     42              .
1979     43              .
1979     44              .
1979     45              .
1979     46              .
1979     47              .
1979     48              .
1979     49              .
1979     50              .
1979     51              .
1979     52              .
1979     53              .
1979     54              .
1979     55              .
1980     12              .
1980     13              .
1980     14              .
1980     15              .
1980     16              .
1980     17              .
1980     18              .
1980     19              .
1980     20      408398.40
1980     21      407781.68
1980     22      407157.94
1980     23      406267.02
1980     24      406069.03
1980     25      406286.29
1980     26      406407.82
1980     27      406581.06
1980     28      407071.09
1980     29      407386.53
1980     30      407330.44
1980     31      407581.64
1980     32      407400.65
1980     33      407574.82
1980     34      407618.98
1980     35      407577.82
1980     36      407445.83
1980     37      407269.40
1980     38      407080.72
1980     39      406815.78
1980     40              .
1980     41              .
1980     42              .
1980     43              .
1980     44              .
1980     45              .
1980     46              .
1980     47              .
1980     48              .
1980     49              .
1980     50              .
1980     51              .
1980     52              .
1980     53              .
1980     54              .
1980     55              .
1981     12              .
1981     13              .
1981     14              .
1981     15              .
1981     16              .
1981     17              .
1981     18              .
1981     19      409005.00
1981     20      408522.00
1981     21      407870.00
1981     22      407331.00
1981     23      406844.00
1981     24      407006.00
1981     25      406984.00
1981     26      407160.00
1981     27      407576.00
1981     28      407886.00
1981     29      407749.00
1981     30      408108.00
1981     31      407991.00
1981     32      408225.00
1981     33      408320.00
1981     34      408284.00
1981     35      408257.00
1981     36      408138.00
1981     37      407885.00
1981     38      407648.00
1981     39              .
1981     40              .
1981     41              .
1981     42              .
1981     43              .
1981     44              .
1981     45              .
1981     46              .
1981     47              .
1981     48              .
1981     49              .
1981     50              .
1981     51              .
1981     52              .
1981     53              .
1981     54              .
1981     55              .
1982     12              .
1982     13              .
1982     14              .
1982     15              .
1982     16              .
1982     17              .
1982     18      400209.00
1982     19      399830.00
1982     20      399394.00
1982     21      398455.00
1982     22      398345.00
1982     23      398263.00
1982     24      398385.00
1982     25      398574.00
1982     26      398996.00
1982     27      399436.00
1982     28      399592.00
1982     29      400100.00
1982     30      400100.00
1982     31      400339.00
1982     32      400543.00
1982     33      400567.00
1982     34      400525.00
1982     35      400432.00
1982     36      400333.00
1982     37      400176.00
1982     38              .
1982     39              .
1982     40              .
1982     41              .
1982     42              .
1982     43              .
1982     44              .
1982     45              .
1982     46              .
1982     47              .
1982     48              .
1982     49              .
1982     50              .
1982     51              .
1982     52              .
1982     53              .
1982     54              .
1982     55              .
1983     12              .
1983     13              .
1983     14              .
1983     15              .
1983     16              .
1983     17      363272.00
1983     18      362694.00
1983     19      362332.00
1983     20      362035.00
1983     21      361588.00
1983     22      361444.00
1983     23      361382.00
1983     24      361348.00
1983     25      361604.00
1983     26      362025.00
1983     27      362168.00
1983     28      362714.00
1983     29      362802.00
1983     30      363181.00
1983     31      363401.00
1983     32      363420.00
1983     33      363499.00
1983     34      363457.00
1983     35      363427.00
1983     36      363323.00
1983     37              .
1983     38              .
1983     39              .
1983     40              .
1983     41              .
1983     42              .
1983     43              .
1983     44              .
1983     45              .
1983     46              .
1983     47              .
1983     48              .
1983     49              .
1983     50              .
1983     51              .
1983     52              .
1983     53              .
1983     54              .
1983     55              .
1984     12              .
1984     13              .
1984     14              .
1984     15              .
1984     16      319463.00
1984     17      318869.00
1984     18      318606.00
1984     19      318048.00
1984     20      317922.00
